case_id,timestamp,event,grade_er
S002,2026-05-01T10:09:30,link entity-relation,5.5
S002,2026-05-01T10:10:00,link entity-relation,5.5
S002,2026-05-01T10:10:30,link entity-relation,5.5
S002,2026-05-01T10:11:00,link entity-relation,5.5
S002,2026-05-01T10:11:30,link entity-relation,5.5
S002,2026-05-01T10:12:00,cardin. 1,5.5
S002,2026-05-01T10:12:30,cardin. N,5.5
S002,2026-05-01T10:13:00,cardin. 1,5.5
S002,2026-05-01T10:13:30,cardin. N,5.5
S002,2026-05-01T10:14:00,cardin. 1,5.5
S002,2026-05-01T10:14:30,cardin. N,5.5
S002,2026-05-01T10:15:00,cardin. 1,5.5
S002,2026-05-01T10:15:30,cardin. N,5.5
S002,2026-05-01T10:16:00,cardin. 1,5.5
S002,2026-05-01T10:16:30,cardin. N,5.5
S002,2026-05-01T10:17:00,cardin. 1,5.5
S002,2026-05-01T10:17:30,cardin. N,5.5
S002,2026-05-01T10:18:00,add attrib.,5.5
S002,2026-05-01T10:18:30,add attrib.,5.5
S002,2026-05-01T10:19:00,add attrib.,5.5
S002,2026-05-01T10:19:30,add attrib.,5.5
S002,2026-05-01T10:20:00,add attrib.,5.5
S002,2026-05-01T10:20:30,add attrib.,5.5
S002,2026-05-01T10:21:00,add attrib.,5.5
S002,2026-05-01T10:21:30,add attrib.,5.5
S002,2026-05-01T10:22:00,add attrib.,5.5
S002,2026-05-01T10:22:30,add attrib.,5.5
S002,2026-05-01T10:23:00,add attrib.,5.5
S002,2026-05-01T10:23:30,add attrib.,5.5
S002,2026-05-01T10:24:00,add attrib.,5.5
S002,2026-05-01T10:24:30,add attrib.,5.5
S002,2026-05-01T10:25:00,add attrib.,5.5
S002,2026-05-01T10:25:30,add attrib.,5.5
S002,2026-05-01T10:26:00,add attrib.,5.5
S002,2026-05-01T10:26:30,add attrib.,5.5
S002,2026-05-01T10:27:00,add attrib.,5.5
S002,2026-05-01T10:27:30,add attrib.,5.5
S002,2026-05-01T10:28:00,link attribute-entity,5.5
S002,2026-05-01T10:28:30,link attribute-entity,5.5
S002,2026-05-01T10:29:00,link attribute-entity,5.5
S002,2026-05-01T10:29:30,link attribute-entity,5.5
S002,2026-05-01T10:30:00,link attribute-entity,5.5
S002,2026-05-01T10:30:30,link attribute-entity,5.5
S002,2026-05-01T10:31:00,link attribute-entity,5.5
S002,2026-05-01T10:31:30,link attribute-entity,5.5
S002,2026-05-01T10:32:00,link attribute-entity,5.5
S002,2026-05-01T10:32:30,link attribute-entity,5.5
S002,2026-05-01T10:33:00,link attribute-entity,5.5
S002,2026-05-01T10:33:30,link attribute-entity,5.5
S002,2026-05-01T10:34:00,link attribute-entity,5.5
S002,2026-05-01T10:34:30,link attribute-entity,5.5
S002,2026-05-01T10:35:00,link attribute-entity,5.5
S002,2026-05-01T10:35:30,link attribute-entity,5.5
S002,2026-05-01T10:36:00,link attribute-entity,5.5
S002,2026-05-01T10:36:30,link attribute-entity,5.5
S002,2026-05-01T10:37:00,link attribute-entity,5.5
S002,2026-05-01T10:37:30,link att-rel,5.5
S002,2026-05-01T10:38:00,link att-rel,5.5
S002,2026-05-01T10:38:30,link att-rel,5.5
S002,2026-05-01T10:39:00,del relation,5.5
S003,2026-05-01T11:00:30,add entity,5.8
S003,2026-05-01T11:01:00,add entity,5.8
S003,2026-05-01T11:01:30,add entity,5.8
S003,2026-05-01T11:02:00,add entity,5.8
S003,2026-05-01T11:02:30,add entity,5.8
S003,2026-05-01T11:03:00,add entity,5.8
S003,2026-05-01T11:03:30,del entity,5.8
S003,2026-05-01T11:04:00,add relation,5.8
S003,2026-05-01T11:04:30,add relation,5.8
S003,2026-05-01T11:05:00,add relation,5.8
S003,2026-05-01T11:05:30,add relation,5.8
S003,2026-05-01T11:06:00,add relation,5.8
S003,2026-05-01T11:06:30,add relation,5.8
S003,2026-05-01T11:07:00,add relation,5.8
S003,2026-05-01T11:07:30,link entity-relation,5.8
S003,2026-05-01T11:08:00,link entity-relation,5.8
S003,2026-05-01T11:08:30,link entity-relation,5.8
S003,2026-05-01T11:09:00,link entity-relation,5.8
S003,2026-05-01T11:09:30,link entity-relation,5.8
S003,2026-05-01T11:10:00,link entity-relation,5.8
S003,2026-05-01T11:10:30,link entity-relation,5.8
S003,2026-05-01T11:11:00,link entity-relation,5.8
S003,2026-05-01T11:11:30,link entity-relation,5.8
S003,2026-05-01T11:12:00,link entity-relation,5.8
S003,2026-05-01T11:12:30,link entity-relation,5.8
S003,2026-05-01T11:13:00,link entity-relation,5.8
S003,2026-05-01T11:13:30,link entity-relation,5.8
S003,2026-05-01T11:14:00,link entity-relation,5.8
S003,2026-05-01T11:14:30,cardin. 1,5.8
S003,2026-05-01T11:15:00,cardin. N,5.8
S003,2026-05-01T11:15:30,cardin. 1,5.8
S003,2026-05-01T11:16:00,cardin. N,5.8
S003,2026-05-01T11:16:30,cardin. 1,5.8
S003,2026-05-01T11:17:00,cardin. N,5.8
S003,2026-05-01T11:17:30,cardin. 1,5.8
S003,2026-05-01T11:18:00,cardin. N,5.8
S003,2026-05-01T11:18:30,cardin. 1,5.8
S003,2026-05-01T11:19:00,cardin. N,5.8
S003,2026-05-01T11:19:30,cardin. 1,5.8
S003,2026-05-01T11:20:00,cardin. N,5.8
S003,2026-05-01T11:20:30,cardin. 1,5.8
S003,2026-05-01T11:21:00,cardin. N,5.8
S003,2026-05-01T11:21:30,add attrib.,5.8
S003,2026-05-01T11:22:00,add attrib.,5.8
S003,2026-05-01T11:22:30,add attrib.,5.8
S003,2026-05-01T11:23:00,add attrib.,5.8
S003,2026-05-01T11:23:30,add attrib.,5.8
S003,2026-05-01T11:24:00,add attrib.,5.8
S003,2026-05-01T11:24:30,add attrib.,5.8
S003,2026-05-01T11:25:00,add attrib.,5.8
S003,2026-05-01T11:25:30,add attrib.,5.8
S003,2026-05-01T11:26:00,add attrib.,5.8
S003,2026-05-01T11:26:30,add attrib.,5.8
S003,2026-05-01T11:27:00,add attrib.,5.8
S003,2026-05-01T11:27:30,add attrib.,5.8
S003,2026-05-01T11:28:00,add attrib.,5.8
S003,2026-05-01T11:28:30,add attrib.,5.8
S003,2026-05-01T11:29:00,add attrib.,5.8
S003,2026-05-01T11:29:30,add attrib.,5.8
S003,2026-05-01T11:30:00,add attrib.,5.8
S003,2026-05-01T11:30:30,del attrib.,5.8
S003,2026-05-01T11:31:00,link attribute-entity,5.8
S003,2026-05-01T11:31:30,link attribute-entity,5.8
S003,2026-05-01T11:32:00,link attribute-entity,5.8
S003,2026-05-01T11:32:30,link attribute-entity,5.8
S003,2026-05-01T11:33:00,link attribute-entity,5.8
S003,2026-05-01T11:33:30,link attribute-entity,5.8
S003,2026-05-01T11:34:00,link attribute-entity,5.8
S003,2026-05-01T11:34:30,link attribute-entity,5.8
S003,2026-05-01T11:35:00,link attribute-entity,5.8
S003,2026-05-01T11:35:30,link attribute-entity,5.8
S003,2026-05-01T11:36:00,link attribute-entity,5.8
S003,2026-05-01T11:36:30,link attribute-entity,5.8
S003,2026-05-01T11:37:00,link attribute-entity,5.8
S003,2026-05-01T11:37:30,link attribute-entity,5.8
S003,2026-05-01T11:38:00,link attribute-entity,5.8
S003,2026-05-01T11:38:30,link attribute-entity,5.8
S003,2026-05-01T11:39:00,link attribute-entity,5.8
S003,2026-05-01T11:39:30,link attribute-entity,5.8
S003,2026-05-01T11:40:00,link attribute-entity,5.8
S003,2026-05-01T11:40:30,link attribute-entity,5.8
S003,2026-05-01T11:41:00,link attribute-entity,5.8
S003,2026-05-01T11:41:30,link att-rel,5.8
S003,2026-05-01T11:42:00,link att-rel,5.8
S004,2026-05-01T12:00:30,add entity,6.0
S004,2026-05-01T12:01:00,add entity,6.0
S004,2026-05-01T12:01:30,add entity,6.0
S004,2026-05-01T12:02:00,add entity,6.0
S004,2026-05-01T12:02:30,add entity,6.0
S004,2026-05-01T12:03:00,del entity,6.0
S004,2026-05-01T12:03:30,add relation,6.0
S004,2026-05-01T12:04:00,add relation,6.0
S004,2026-05-01T12:04:30,add relation,6.0
S004,2026-05-01T12:05:00,add relation,6.0
S004,2026-05-01T12:05:30,add relation,6.0
S004,2026-05-01T12:06:00,add relation,6.0
S004,2026-05-01T12:06:30,add relation,6.0
S004,2026-05-01T12:07:00,link entity-relation,6.0
S004,2026-05-01T12:07:30,link entity-relation,6.0
S004,2026-05-01T12:08:00,link entity-relation,6.0
S004,2026-05-01T12:08:30,link entity-relation,6.0
S004,2026-05-01T12:09:00,link entity-relation,6.0
S004,2026-05-01T12:09:30,link entity-relation,6.0
S004,2026-05-01T12:10:00,link entity-relation,6.0
S004,2026-05-01T12:10:30,link entity-relation,6.0
S004,2026-05-01T12:11:00,link entity-relation,6.0
S004,2026-05-01T12:11:30,link entity-relation,6.0
S004,2026-05-01T12:12:00,link entity-relation,6.0
S004,2026-05-01T12:12:30,link entity-relation,6.0
S004,2026-05-01T12:13:00,cardin. 1,6.0
S004,2026-05-01T12:13:30,cardin. N,6.0
S004,2026-05-01T12:14:00,cardin. 1,6.0
S004,2026-05-01T12:14:30,cardin. N,6.0
S004,2026-05-01T12:15:00,cardin. 1,6.0
S004,2026-05-01T12:15:30,cardin. N,6.0
S004,2026-05-01T12:16:00,cardin. 1,6.0
S004,2026-05-01T12:16:30,cardin. N,6.0
S004,2026-05-01T12:17:00,cardin. 1,6.0
S004,2026-05-01T12:17:30,cardin. N,6.0
S004,2026-05-01T12:18:00,cardin. 1,6.0
S004,2026-05-01T12:18:30,cardin. N,6.0
S004,2026-05-01T12:19:00,add attrib.,6.0
S004,2026-05-01T12:19:30,add attrib.,6.0
S004,2026-05-01T12:20:00,add attrib.,6.0
S004,2026-05-01T12:20:30,add attrib.,6.0
S004,2026-05-01T12:21:00,add attrib.,6.0
S004,2026-05-01T12:21:30,add attrib.,6.0
S004,2026-05-01T12:22:00,add attrib.,6.0
S004,2026-05-01T12:22:30,add attrib.,6.0
S004,2026-05-01T12:23:00,add attrib.,6.0
S004,2026-05-01T12:23:30,add attrib.,6.0
S004,2026-05-01T12:24:00,add attrib.,6.0
S004,2026-05-01T12:24:30,add attrib.,6.0
S004,2026-05-01T12:25:00,add attrib.,6.0
S004,2026-05-01T12:25:30,add attrib.,6.0
S004,2026-05-01T12:26:00,add attrib.,6.0
S004,2026-05-01T12:26:30,add attrib.,6.0
S004,2026-05-01T12:27:00,add attrib.,6.0
S004,2026-05-01T12:27:30,add attrib.,6.0
S004,2026-05-01T12:28:00,add attrib.,6.0
S004,2026-05-01T12:28:30,link attribute-entity,6.0
S004,2026-05-01T12:29:00,link attribute-entity,6.0
S004,2026-05-01T12:29:30,link attribute-entity,6.0
S004,2026-05-01T12:30:00,link attribute-entity,6.0
S004,2026-05-01T12:30:30,link attribute-entity,6.0
S004,2026-05-01T12:31:00,link attribute-entity,6.0
S004,2026-05-01T12:31:30,link attribute-entity,6.0
S004,2026-05-01T12:32:00,link attribute-entity,6.0
S004,2026-05-01T12:32:30,link attribute-entity,6.0
S004,2026-05-01T12:33:00,link attribute-entity,6.0
S004,2026-05-01T12:33:30,link attribute-entity,6.0
S004,2026-05-01T12:34:00,link attribute-entity,6.0
S004,2026-05-01T12:34:30,link attribute-entity,6.0
S004,2026-05-01T12:35:00,link attribute-entity,6.0
S004,2026-05-01T12:35:30,link attribute-entity,6.0
S004,2026-05-01T12:36:00,link attribute-entity,6.0
S004,2026-05-01T12:36:30,link attribute-entity,6.0
S004,2026-05-01T12:37:00,link attribute-entity,6.0
S004,2026-05-01T12:37:30,link attribute-entity,6.0
S004,2026-05-01T12:38:00,link attribute-entity,6.0
S004,2026-05-01T12:38:30,link att-rel,6.0
S004,2026-05-01T12:39:00,link att-rel,6.0
S004,2026-05-01T12:39:30,del relation,6.0
S005,2026-05-01T13:00:30,add entity,0.2
S005,2026-05-01T13:01:00,add entity,0.2
S005,2026-05-01T13:01:30,add entity,0.2
S005,2026-05-01T13:02:00,add entity,0.2
S005,2026-05-01T13:02:30,add entity,0.2
S005,2026-05-01T13:03:00,add entity,0.2
S005,2026-05-01T13:03:30,add relation,0.2
S005,2026-05-01T13:04:00,add relation,0.2
S005,2026-05-01T13:04:30,add relation,0.2
S005,2026-05-01T13:05:00,add relation,0.2
S005,2026-05-01T13:05:30,add relation,0.2
S005,2026-05-01T13:06:00,add relation,0.2
S005,2026-05-01T13:06:30,add relation,0.2
S005,2026-05-01T13:07:00,add relation,0.2
S005,2026-05-01T13:07:30,del relation,0.2
S005,2026-05-01T13:08:00,del relation,0.2
S005,2026-05-01T13:08:30,del relation,0.2
S005,2026-05-01T13:09:00,link entity-relation,0.2
S005,2026-05-01T13:09:30,link entity-relation,0.2
S005,2026-05-01T13:10:00,link entity-relation,0.2
S005,2026-05-01T13:10:30,link entity-relation,0.2
S005,2026-05-01T13:11:00,link entity-relation,0.2
S005,2026-05-01T13:11:30,link entity-relation,0.2
S005,2026-05-01T13:12:00,link entity-relation,0.2
S005,2026-05-01T13:12:30,link entity-relation,0.2
S005,2026-05-01T13:13:00,link entity-relation,0.2
S005,2026-05-01T13:13:30,link entity-relation,0.2
S005,2026-05-01T13:14:00,link entity-relation,0.2
S005,2026-05-01T13:14:30,link entity-relation,0.2
S005,2026-05-01T13:15:00,link entity-relation,0.2
S005,2026-05-01T13:15:30,link entity-relation,0.2
S005,2026-05-01T13:16:00,link entity-relation,0.2
S005,2026-05-01T13:16:30,link entity-relation,0.2
S005,2026-05-01T13:17:00,cardin. 1,0.2
S005,2026-05-01T13:17:30,cardin. 1,0.2
S005,2026-05-01T13:18:00,cardin. N,0.2
S005,2026-05-01T13:18:30,cardin. 1,0.2
S005,2026-05-01T13:19:00,cardin. N,0.2
S005,2026-05-01T13:19:30,cardin. 1,0.2
S005,2026-05-01T13:20:00,cardin. 1,0.2
S005,2026-05-01T13:20:30,cardin. N,0.2
S005,2026-05-01T13:21:00,cardin. 1,0.2
S005,2026-05-01T13:21:30,cardin. 1,0.2
S005,2026-05-01T13:22:00,cardin. N,0.2
S005,2026-05-01T13:22:30,cardin. 1,0.2
S005,2026-05-01T13:23:00,cardin. N,0.2
S005,2026-05-01T13:23:30,cardin. N,0.2
S005,2026-05-01T13:24:00,cardin. N,0.2
S005,2026-05-01T13:24:30,add attrib.,0.2
S005,2026-05-01T13:25:00,add attrib.,0.2
S005,2026-05-01T13:25:30,add attrib.,0.2
S005,2026-05-01T13:26:00,add attrib.,0.2
S005,2026-05-01T13:26:30,add attrib.,0.2
S005,2026-05-01T13:27:00,add attrib.,0.2
S005,2026-05-01T13:27:30,add attrib.,0.2
S005,2026-05-01T13:28:00,add attrib.,0.2
S005,2026-05-01T13:28:30,add attrib.,0.2
S005,2026-05-01T13:29:00,add attrib.,0.2
S005,2026-05-01T13:29:30,add attrib.,0.2
S005,2026-05-01T13:30:00,add attrib.,0.2
S005,2026-05-01T13:30:30,add attrib.,0.2
S005,2026-05-01T13:31:00,add attrib.,0.2
S005,2026-05-01T13:31:30,add attrib.,0.2
S005,2026-05-01T13:32:00,add attrib.,0.2
S005,2026-05-01T13:32:30,add attrib.,0.2
S005,2026-05-01T13:33:00,add attrib.,0.2
S005,2026-05-01T13:33:30,add attrib.,0.2
S005,2026-05-01T13:34:00,add attrib.,0.2
S005,2026-05-01T13:34:30,add attrib.,0.2
S005,2026-05-01T13:35:00,add attrib.,0.2
S005,2026-05-01T13:35:30,add attrib.,0.2
S005,2026-05-01T13:36:00,del attrib.,0.2
S005,2026-05-01T13:36:30,del attrib.,0.2
S005,2026-05-01T13:37:00,link attribute-entity,0.2
S005,2026-05-01T13:37:30,link attribute-entity,0.2
S005,2026-05-01T13:38:00,link attribute-entity,0.2
S005,2026-05-01T13:38:30,link attribute-entity,0.2
S005,2026-05-01T13:39:00,link attribute-entity,0.2
S005,2026-05-01T13:39:30,link attribute-entity,0.2
S005,2026-05-01T13:40:00,link attribute-entity,0.2
S005,2026-05-01T13:40:30,link attribute-entity,0.2
S005,2026-05-01T13:41:00,link attribute-entity,0.2
S005,2026-05-01T13:41:30,link attribute-entity,0.2
S005,2026-05-01T13:42:00,link attribute-entity,0.2
S005,2026-05-01T13:42:30,link attribute-entity,0.2
S005,2026-05-01T13:43:00,link attribute-entity,0.2
S005,2026-05-01T13:43:30,link attribute-entity,0.2
S005,2026-05-01T13:44:00,link attribute-entity,0.2
S005,2026-05-01T13:44:30,link attribute-entity,0.2
S005,2026-05-01T13:45:00,link attribute-entity,0.2
S005,2026-05-01T13:45:30,link attribute-entity,0.2
S005,2026-05-01T13:46:00,link attribute-entity,0.2
S005,2026-05-01T13:46:30,link attribute-entity,0.2
S005,2026-05-01T13:47:00,link att-rel,0.2
S005,2026-05-01T13:47:30,link att-rel,0.2
S005,2026-05-01T13:48:00,link att-rel,0.2
S005,2026-05-01T13:48:30,link att-rel,0.2
S006,2026-05-01T14:00:30,add entity,0.4
S006,2026-05-01T14:01:00,add entity,0.4
S006,2026-05-01T14:01:30,add entity,0.4
S006,2026-05-01T14:02:00,add entity,0.4
S006,2026-05-01T14:02:30,add entity,0.4
S006,2026-05-01T14:03:00,add entity,0.4
S006,2026-05-01T14:03:30,del entity,0.4
S006,2026-05-01T14:04:00,add relation,0.4
S006,2026-05-01T14:04:30,add relation,0.4
S006,2026-05-01T14:05:00,add relation,0.4
S006,2026-05-01T14:05:30,add relation,0.4
S006,2026-05-01T14:06:00,add relation,0.4
S006,2026-05-01T14:06:30,add relation,0.4
S006,2026-05-01T14:07:00,add relation,0.4
S006,2026-05-01T14:07:30,del relation,0.4
S006,2026-05-01T14:08:00,del relation,0.4
S006,2026-05-01T14:08:30,link entity-relation,0.4
S006,2026-05-01T14:09:00,link entity-relation,0.4
S006,2026-05-01T14:09:30,link entity-relation,0.4
S006,2026-05-01T14:10:00,link entity-relation,0.4
S006,2026-05-01T14:10:30,link entity-relation,0.4
S006,2026-05-01T14:11:00,link entity-relation,0.4
S006,2026-05-01T14:11:30,link entity-relation,0.4
S006,2026-05-01T14:12:00,link entity-relation,0.4
S006,2026-05-01T14:12:30,link entity-relation,0.4
S006,2026-05-01T14:13:00,link entity-relation,0.4
S006,2026-05-01T14:13:30,link entity-relation,0.4
S006,2026-05-01T14:14:00,link entity-relation,0.4
S006,2026-05-01T14:14:30,link entity-relation,0.4
S006,2026-05-01T14:15:00,cardin. 1,0.4
S006,2026-05-01T14:15:30,cardin. N,0.4
S006,2026-05-01T14:16:00,cardin. 1,0.4
S006,2026-05-01T14:16:30,cardin. N,0.4
S006,2026-05-01T14:17:00,cardin. 1,0.4
S006,2026-05-01T14:17:30,cardin. N,0.4
S006,2026-05-01T14:18:00,cardin. 1,0.4
S006,2026-05-01T14:18:30,cardin. N,0.4
S006,2026-05-01T14:19:00,cardin. 1,0.4
S006,2026-05-01T14:19:30,cardin. N,0.4
S006,2026-05-01T14:20:00,cardin. 1,0.4
S006,2026-05-01T14:20:30,cardin. N,0.4
S006,2026-05-01T14:21:00,cardin. 1,0.4
S006,2026-05-01T14:21:30,cardin. N,0.4
S006,2026-05-01T14:22:00,cardin. 1,0.4
S006,2026-05-01T14:22:30,cardin. N,0.4
S006,2026-05-01T14:23:00,cardin. 1,0.4
S006,2026-05-01T14:23:30,cardin. N,0.4
S006,2026-05-01T14:24:00,cardin. 1,0.4
S006,2026-05-01T14:24:30,cardin. N,0.4
S006,2026-05-01T14:25:00,cardin. N,0.4
S006,2026-05-01T14:25:30,cardin. N,0.4
S006,2026-05-01T14:26:00,cardin. N,0.4
S006,2026-05-01T14:26:30,cardin. N,0.4
S006,2026-05-01T14:27:00,add attrib.,0.4
S006,2026-05-01T14:27:30,add attrib.,0.4
S006,2026-05-01T14:28:00,add attrib.,0.4
S006,2026-05-01T14:28:30,add attrib.,0.4
S006,2026-05-01T14:29:00,add attrib.,0.4
S006,2026-05-01T14:29:30,add attrib.,0.4
S006,2026-05-01T14:30:00,add attrib.,0.4
S006,2026-05-01T14:30:30,add attrib.,0.4
S006,2026-05-01T14:31:00,add attrib.,0.4
S006,2026-05-01T14:31:30,add attrib.,0.4
S006,2026-05-01T14:32:00,add attrib.,0.4
S006,2026-05-01T14:32:30,add attrib.,0.4
S006,2026-05-01T14:33:00,add attrib.,0.4
S006,2026-05-01T14:33:30,add attrib.,0.4
S006,2026-05-01T14:34:00,add attrib.,0.4
S006,2026-05-01T14:34:30,add attrib.,0.4
S006,2026-05-01T14:35:00,add attrib.,0.4
S006,2026-05-01T14:35:30,add attrib.,0.4
S006,2026-05-01T14:36:00,add attrib.,0.4
S006,2026-05-01T14:36:30,add attrib.,0.4
S006,2026-05-01T14:37:00,add attrib.,0.4
S006,2026-05-01T14:37:30,add attrib.,0.4
S006,2026-05-01T14:38:00,add attrib.,0.4
S006,2026-05-01T14:38:30,add attrib.,0.4
S006,2026-05-01T14:39:00,add attrib.,0.4
S006,2026-05-01T14:39:30,add attrib.,0.4
S006,2026-05-01T14:40:00,del attrib.,0.4
S006,2026-05-01T14:40:30,del attrib.,0.4
S006,2026-05-01T14:41:00,link attribute-entity,0.4
S006,2026-05-01T14:41:30,link attribute-entity,0.4
S006,2026-05-01T14:42:00,link attribute-entity,0.4
S006,2026-05-01T14:42:30,link attribute-entity,0.4
S006,2026-05-01T14:43:00,link attribute-entity,0.4
S006,2026-05-01T14:43:30,link attribute-entity,0.4
S006,2026-05-01T14:44:00,link attribute-entity,0.4
S006,2026-05-01T14:44:30,link attribute-entity,0.4
S006,2026-05-01T14:45:00,link attribute-entity,0.4
S006,2026-05-01T14:45:30,link attribute-entity,0.4
S006,2026-05-01T14:46:00,link attribute-entity,0.4
S006,2026-05-01T14:46:30,link attribute-entity,0.4
S006,2026-05-01T14:47:00,link attribute-entity,0.4
S006,2026-05-01T14:47:30,link attribute-entity,0.4
S006,2026-05-01T14:48:00,link attribute-entity,0.4
S006,2026-05-01T14:48:30,link attribute-entity,0.4
S006,2026-05-01T14:49:00,link attribute-entity,0.4
S006,2026-05-01T14:49:30,link attribute-entity,0.4
S006,2026-05-01T14:50:00,link attribute-entity,0.4
S006,2026-05-01T14:50:30,link attribute-entity,0.4
S006,2026-05-01T14:51:00,link attribute-entity,0.4
S006,2026-05-01T14:51:30,link attribute-entity,0.4
S006,2026-05-01T14:52:00,link attribute-entity,0.4
S006,2026-05-01T14:52:30,link attribute-entity,0.4
S006,2026-05-01T14:53:00,link attribute-entity,0.4
S006,2026-05-01T14:53:30,link att-rel,0.4
S006,2026-05-01T14:54:00,link att-rel,0.4
S006,2026-05-01T14:54:30,link att-rel,0.4
S006,2026-05-01T14:55:00,link att-rel,0.4
S006,2026-05-01T14:55:30,link att-rel,0.4
S007,2026-05-01T15:00:30,add entity,0.7
S007,2026-05-01T15:01:00,add entity,0.7
S007,2026-05-01T15:01:30,add entity,0.7
S007,2026-05-01T15:02:00,add entity,0.7
S007,2026-05-01T15:02:30,add entity,0.7
S007,2026-05-01T15:03:00,add relation,0.7
